[2013-08-18 12:59:35.078005 +0000]  stbt-run: Arguments:
[2013-08-18 12:59:36.669992 +0000]  stbt-run: Match found: MatchResult(timestamp=1509140200L, match=True, position=Position(x=0, y=0), first_pass_result=1.0000001201460975)
[2013-08-18 12:59:36.702563 +0000]  stbt-run: Match found: MatchResult(timestamp=1542473533L, match=True, position=Position(x=0, y=0), first_pass_result=1.0000001201460975)
[2013-08-18 12:59:36.734373 +0000]  stbt-run: Match found: MatchResult(timestamp=1575806866L, match=True, position=Position(x=0, y=0), first_pass_result=1.0000001201460975)
[2013-08-18 12:59:36.768341 +0000]  stbt-run: Match found: MatchResult(timestamp=1609140200L, match=True, position=Position(x=0, y=0), first_pass_result=1.0000001201460975)
[2013-08-18 12:59:36.816020 +0000]  stbt-run: Match found: MatchResult(timestamp=1642473533L, match=True, position=Position(x=0, y=0), first_pass_result=1.0000001201460975)
[2013-08-18 12:59:36.816232 +0000]  stbt-run: Matched videotestsrc-checkers-8.png
[2013-08-18 12:59:36.818546 +0000]  stbt-run: Pressed ball
[2013-08-18 12:59:36.818656 +0000]  stbt-run: Waiting for 24 out of 24 frames with motion
[2013-08-18 12:59:36.818706 +0000]  stbt-run: Searching for motion
[2013-08-18 12:59:36.860087 +0000]  stbt-run: No motion found: MotionResult(timestamp=1709140200L, motion=False)
[2013-08-18 12:59:36.886817 +0000]  stbt-run: Motion found: MotionResult(timestamp=1742473533L, motion=True)
[2013-08-18 12:59:36.928278 +0000]  stbt-run: Motion found: MotionResult(timestamp=1775806866L, motion=True)
[2013-08-18 12:59:36.953125 +0000]  stbt-run: Motion found: MotionResult(timestamp=1809140200L, motion=True)
[2013-08-18 12:59:36.993465 +0000]  stbt-run: Motion found: MotionResult(timestamp=1842473533L, motion=True)
[2013-08-18 12:59:37.019278 +0000]  stbt-run: Motion found: MotionResult(timestamp=1875806866L, motion=True)
[2013-08-18 12:59:37.063410 +0000]  stbt-run: Motion found: MotionResult(timestamp=1909140200L, motion=True)
[2013-08-18 12:59:37.088422 +0000]  stbt-run: Motion found: MotionResult(timestamp=1942473533L, motion=True)
[2013-08-18 12:59:37.129538 +0000]  stbt-run: Motion found: MotionResult(timestamp=1975806866L, motion=True)
[2013-08-18 12:59:37.154131 +0000]  stbt-run: Motion found: MotionResult(timestamp=2009140200L, motion=True)
[2013-08-18 12:59:37.194999 +0000]  stbt-run: Motion found: MotionResult(timestamp=2042473533L, motion=True)
[2013-08-18 12:59:37.221099 +0000]  stbt-run: Motion found: MotionResult(timestamp=2075806866L, motion=True)
[2013-08-18 12:59:37.262213 +0000]  stbt-run: Motion found: MotionResult(timestamp=2109140200L, motion=True)
[2013-08-18 12:59:37.286938 +0000]  stbt-run: Motion found: MotionResult(timestamp=2142473533L, motion=True)
[2013-08-18 12:59:37.329619 +0000]  stbt-run: Motion found: MotionResult(timestamp=2175806866L, motion=True)
[2013-08-18 12:59:37.354322 +0000]  stbt-run: Motion found: MotionResult(timestamp=2209140200L, motion=True)
[2013-08-18 12:59:37.397093 +0000]  stbt-run: Motion found: MotionResult(timestamp=2242473533L, motion=True)
[2013-08-18 12:59:37.421524 +0000]  stbt-run: Motion found: MotionResult(timestamp=2275806866L, motion=True)
[2013-08-18 12:59:37.468131 +0000]  stbt-run: Motion found: MotionResult(timestamp=2309140200L, motion=True)
[2013-08-18 12:59:37.485891 +0000]  stbt-run: Motion found: MotionResult(timestamp=2342473533L, motion=True)
[2013-08-18 12:59:37.526769 +0000]  stbt-run: Motion found: MotionResult(timestamp=2375806866L, motion=True)
[2013-08-18 12:59:37.551277 +0000]  stbt-run: Motion found: MotionResult(timestamp=2409140200L, motion=True)
[2013-08-18 12:59:37.594539 +0000]  stbt-run: Motion found: MotionResult(timestamp=2442473533L, motion=True)
[2013-08-18 12:59:37.622061 +0000]  stbt-run: Motion found: MotionResult(timestamp=2475806866L, motion=True)
[2013-08-18 12:59:37.668549 +0000]  stbt-run: Motion found: MotionResult(timestamp=2509140200L, motion=True)
[2013-08-18 12:59:37.668768 +0000]  stbt-run: Motion detected.
[2013-08-18 12:59:37.672711 +0000]  stbt-run: teardown: Sending eos
[2013-08-18 12:59:37.759450 +0000]  stbt-run: Got EOS
[2013-08-18 12:59:37.799318 +0000]  stbt-run: teardown: Exiting (GLib mainloop ok)
